item_id,pedido_id,produto_id,quantidade,preco_unitario
1,1001,1,1,4500.0
2,1001,2,2,120.0
3,1002,3,1,350.0
4,1002,4,1,900.0
5,1003,5,1,280.0
6,1004,6,1,1200.0
7,1004,7,2,250.0
8,1005,8,1,550.0
9,1006,9,2,380.0
10,1006,2,1,120.0
11,1007,10,1,3200.0
12,1008,11,1,2800.0
13,1008,12,2,80.0
14,1009,13,1,450.0
15,1010,14,2,150.0
16,1010,15,1,480.0
17,1011,1,1,4500.0
18,1012,2,3,120.0
19,1013,3,1,350.0
20,1014,4,2,900.0
21,1015,5,1,280.0
22,1015,6,1,1200.0
23,1016,7,1,250.0
24,1017,8,2,550.0
25,1018,9,1,380.0
26,1018,10,1,3200.0
27,1019,11,1,2800.0
28,1020,12,4,80.0
29,1021,13,1,450.0
30,1022,14,2,150.0
31,1022,15,1,480.0
32,1023,1,1,4500.0
33,1024,2,2,120.0
34,1025,3,1,350.0
35,1026,4,1,900.0
36,1027,5,2,280.0
37,1028,6,1,1200.0
38,1029,7,1,250.0
39,1030,8,1,550.0
40,1031,9,2,380.0
41,1032,10,1,3200.0
42,1033,11,1,2800.0
43,1034,12,3,80.0
44,1035,13,1,450.0
45,1036,14,2,150.0
46,1037,15,1,480.0
47,1038,1,1,4500.0
48,1039,2,2,120.0
49,1040,3,1,350.0
50,1041,4,1,900.0
51,1042,5,1,280.0
52,1043,6,1,1200.0
53,1044,7,2,250.0
54,1045,8,1,550.0
55,1046,9,1,380.0
56,1047,10,1,3200.0
57,1048,11,1,2800.0
58,1049,12,2,80.0
59,1050,13,1,450.0
60,1001,3,1,350.0
61,1002,5,2,280.0
62,1004,8,1,550.0
63,1006,11,1,2800.0
64,1007,2,1,120.0
65,1010,9,1,380.0
66,1011,4,1,900.0
67,1012,13,1,450.0
68,1015,14,2,150.0
69,1016,15,1,480.0
70,1018,1,1,4500.0
71,1020,5,1,280.0
72,1021,6,1,1200.0
73,1023,7,2,250.0
74,1026,10,1,3200.0
75,1028,11,1,2800.0
76,1030,12,2,80.0
77,1033,13,1,450.0
78,1035,14,1,150.0
79,1038,15,1,480.0
80,1040,1,1,4500.0
81,1042,2,2,120.0
82,1045,3,1,350.0
83,1047,4,1,900.0
84,1049,5,1,280.0
85,1050,6,1,1200.0
