pedido_id,cliente_id,data_pedido,status
1001,1,2025-05-01,CONCLUIDO
1002,2,2025-05-02,CONCLUIDO
1003,3,2025-05-02,CANCELADO
1004,4,2025-05-03,CONCLUIDO
1005,5,2025-05-04,PENDENTE
1006,6,2025-05-05,CONCLUIDO
1007,7,2025-05-06,CONCLUIDO
1008,8,2025-05-07,CONCLUIDO
1009,9,2025-05-08,CANCELADO
1010,10,2025-05-09,CONCLUIDO
1011,11,2025-05-10,CONCLUIDO
1012,12,2025-05-11,CONCLUIDO
1013,13,2025-05-12,PENDENTE
1014,14,2025-05-13,CONCLUIDO
1015,15,2025-05-14,CONCLUIDO
1016,16,2025-05-15,CONCLUIDO
1017,17,2025-05-16,CANCELADO
1018,18,2025-05-17,CONCLUIDO
1019,19,2025-05-18,CONCLUIDO
1020,20,2025-05-19,CONCLUIDO
1021,1,2025-05-20,CONCLUIDO
1022,2,2025-05-21,CONCLUIDO
1023,3,2025-05-22,CONCLUIDO
1024,4,2025-05-23,CONCLUIDO
1025,5,2025-05-24,PENDENTE
1026,6,2025-05-25,CONCLUIDO
1027,7,2025-05-26,CONCLUIDO
1028,8,2025-05-27,CONCLUIDO
1029,9,2025-05-28,CONCLUIDO
1030,10,2025-05-29,CONCLUIDO
1031,11,2025-05-30,CONCLUIDO
1032,12,2025-05-31,CANCELADO
1033,13,2025-06-01,CONCLUIDO
1034,14,2025-06-02,CONCLUIDO
1035,15,2025-06-03,CONCLUIDO
1036,16,2025-06-04,CONCLUIDO
1037,17,2025-06-05,PENDENTE
1038,18,2025-06-06,CONCLUIDO
1039,19,2025-06-07,CONCLUIDO
1040,20,2025-06-08,CONCLUIDO
1041,1,2025-06-09,CONCLUIDO
1042,5,2025-06-10,CONCLUIDO
1043,10,2025-06-11,CONCLUIDO
1044,15,2025-06-12,CANCELADO
1045,20,2025-06-13,CONCLUIDO
1046,3,2025-06-14,CONCLUIDO
1047,7,2025-06-15,CONCLUIDO
1048,12,2025-06-16,CONCLUIDO
1049,17,2025-06-17,CONCLUIDO
1050,19,2025-06-18,CONCLUIDO
