item_id,pedido_id,produto_id,quantidade,preco_unitario
1,1001,1,1,4500.00
2,1001,2,2,120.00
3,1002,3,1,350.00
4,1002,4,1,900.00
5,1003,5,1,280.00
6,1004,6,1,1200.00
7,1004,7,2,250.00
8,1005,8,1,550.00
9,1006,9,2,380.00
10,1006,2,1,120.00
11,1007,10,1,3200.00
12,1008,11,1,2800.00
13,1008,12,2,80.00
14,1009,13,1,450.00
15,1010,14,2,150.00
16,1010,15,1,480.00
17,1011,1,1,4500.00
18,1012,2,3,120.00
19,1013,3,1,350.00
20,1014,4,2,900.00
21,1015,5,1,280.00
22,1015,6,1,1200.00
23,1016,7,1,250.00
24,1017,8,2,550.00
25,1018,9,1,380.00
26,1018,10,1,3200.00
27,1019,11,1,2800.00
28,1020,12,4,80.00
29,1021,13,1,450.00
30,1022,14,2,150.00
31,1022,15,1,480.00
32,1023,1,1,4500.00
33,1024,2,2,120.00
34,1025,3,1,350.00
35,1026,4,1,900.00
36,1027,5,2,280.00
37,1028,6,1,1200.00
38,1029,7,1,250.00
39,1030,8,1,550.00
40,1031,9,2,380.00
41,1032,10,1,3200.00
42,1033,11,1,2800.00
43,1034,12,3,80.00
44,1035,13,1,450.00
45,1036,14,2,150.00
46,1037,15,1,480.00
47,1038,1,1,4500.00
48,1039,2,2,120.00
49,1040,3,1,350.00
50,1041,4,1,900.00
51,1042,5,1,280.00
52,1043,6,1,1200.00
53,1044,7,2,250.00
54,1045,8,1,550.00
55,1046,9,1,380.00
56,1047,10,1,3200.00
57,1048,11,1,2800.00
58,1049,12,2,80.00
59,1050,13,1,450.00
60,1001,3,1,350.00
61,1002,5,2,280.00
62,1004,8,1,550.00
63,1006,11,1,2800.00
64,1007,2,1,120.00
65,1010,9,1,380.00
66,1011,4,1,900.00
67,1012,13,1,450.00
68,1015,14,2,150.00
69,1016,15,1,480.00
70,1018,1,1,4500.00
71,1020,5,1,280.00
72,1021,6,1,1200.00
73,1023,7,2,250.00
74,1026,10,1,3200.00
75,1028,11,1,2800.00
76,1030,12,2,80.00
77,1033,13,1,450.00
78,1035,14,1,150.00
79,1038,15,1,480.00
80,1040,1,1,4500.00
81,1042,2,2,120.00
82,1045,3,1,350.00
83,1047,4,1,900.00
84,1049,5,1,280.00
85,1050,6,1,1200.00
