produto_id,nome,categoria,preco,estoque
1,Notebook Pro,Eletrônicos,4500.00,20
2,Mouse Wireless,Periféricos,120.00,150
3,Teclado Mecânico,Periféricos,350.00,80
4,Monitor 24,Monitores,900.00,45
5,Headset Gamer,Acessórios,280.00,60
6,Cadeira Gamer,Móveis,1200.00,25
7,Webcam Full HD,Acessórios,250.00,70
8,SSD 1TB,Armazenamento,550.00,40
9,Memória RAM 16GB,Componentes,380.00,90
10,Placa de Vídeo RTX,Componentes,3200.00,15
11,Notebook Basic,Eletrônicos,2800.00,30
12,Mouse Pad,Periféricos,80.00,200
13,Microfone USB,Acessórios,450.00,35
14,Hub USB,Periféricos,150.00,100
15,HD Externo 2TB,Armazenamento,480.00,50
